customer_id,atm_id,latitude,longitude,timestamp,amount
CUST_0071,ATM_002,12.981315,80.243745,2024-01-01 00:03:01,2000.0
CUST_0438,ATM_013,12.934112,80.247218,2024-01-01 00:08:00,2500.0
CUST_0306,ATM_013,12.934112,80.247218,2024-01-01 00:41:06,2000.0
CUST_0246,ATM_015,12.992792,80.2065,2024-01-01 01:05:47,3500.0
CUST_0334,ATM_015,12.992792,80.2065,2024-01-01 01:20:02,3500.0
CUST_0017,ATM_017,12.999838,80.197307,2024-01-01 04:49:51,2500.0
CUST_0115,ATM_012,12.946351,80.216505,2024-01-01 05:52:48,3500.0
CUST_0173,ATM_006,12.964649,80.213914,2024-01-01 06:09:38,5000.0
CUST_0289,ATM_003,12.968088,80.217388,2024-01-01 06:12:17,4000.0
CUST_0013,ATM_015,12.992792,80.2065,2024-01-01 07:29:33,3000.0
CUST_0077,ATM_020,12.984062,80.212362,2024-01-01 09:02:17,3000.0
CUST_0108,ATM_002,12.981315,80.243745,2024-01-01 10:11:50,3000.0
CUST_0240,ATM_007,12.975229,80.192201,2024-01-01 10:50:24,2500.0
CUST_0430,ATM_004,12.995288,80.232412,2024-01-01 10:58:46,3000.0
CUST_0479,ATM_020,12.984062,80.212362,2024-01-01 11:26:02,500.0
CUST_0447,ATM_009,12.924743,80.251285,2024-01-01 13:07:21,2000.0
CUST_0373,ATM_018,13.009871,80.19535,2024-01-01 13:33:37,1500.0
CUST_0127,ATM_016,12.99278,80.232227,2024-01-01 14:43:00,2500.0
CUST_0427,ATM_018,13.009871,80.19535,2024-01-01 15:04:01,2500.0
CUST_0396,ATM_018,13.009871,80.19535,2024-01-01 15:15:04,3500.0
CUST_0321,ATM_003,12.968088,80.217388,2024-01-01 15:50:28,2500.0
CUST_0151,ATM_011,12.974313,80.240484,2024-01-01 15:52:58,1500.0
CUST_0413,ATM_009,12.924743,80.251285,2024-01-01 16:09:29,2000.0
CUST_0022,ATM_007,12.975229,80.192201,2024-01-01 16:16:07,1500.0
CUST_0197,ATM_003,12.968088,80.217388,2024-01-01 16:35:37,2500.0
CUST_0233,ATM_002,12.981315,80.243745,2024-01-01 16:38:19,3000.0
CUST_0254,ATM_004,12.995288,80.232412,2024-01-01 17:04:08,5500.0
CUST_0175,ATM_006,12.964649,80.213914,2024-01-01 17:29:08,6000.0
CUST_0135,ATM_008,12.910502,80.233754,2024-01-01 18:11:24,6000.0
CUST_0150,ATM_020,12.984062,80.212362,2024-01-01 18:13:56,3500.0
CUST_0428,ATM_020,12.984062,80.212362,2024-01-01 18:59:57,5000.0
CUST_0497,ATM_005,12.964558,80.229038,2024-01-01 19:00:02,5500.0
CUST_0095,ATM_018,13.009871,80.19535,2024-01-01 19:28:06,7500.0
CUST_0322,ATM_019,13.002506,80.186484,2024-01-01 22:00:41,2500.0
CUST_0480,ATM_008,12.910502,80.233754,2024-01-01 22:38:35,2500.0
CUST_0191,ATM_013,12.934112,80.247218,2024-01-01 22:43:02,4000.0
CUST_0017,ATM_017,12.999838,80.197307,2024-01-01 23:04:54,3000.0
CUST_0224,ATM_018,13.009871,80.19535,2024-01-01 23:07:41,1000.0
CUST_0418,ATM_003,12.968088,80.217388,2024-01-01 23:11:35,3000.0
CUST_0146,ATM_010,12.92684,80.216754,2024-01-01 23:55:01,1000.0
CUST_0251,ATM_005,12.964558,80.229038,2024-01-02 00:18:03,3000.0
CUST_0127,ATM_018,13.009871,80.19535,2024-01-02 00:28:15,1000.0
CUST_0085,ATM_009,12.924743,80.251285,2024-01-02 00:33:09,4000.0
CUST_0115,ATM_017,12.999838,80.197307,2024-01-02 00:51:06,1500.0
CUST_0021,ATM_007,12.975229,80.192201,2024-01-02 01:12:41,3500.0
CUST_0434,ATM_003,12.968088,80.217388,2024-01-02 01:28:34,500.0
CUST_0170,ATM_015,12.992792,80.2065,2024-01-02 06:19:51,4500.0
CUST_0173,ATM_006,12.964649,80.213914,2024-01-02 06:48:24,4000.0
CUST_0363,ATM_009,12.924743,80.251285,2024-01-02 06:49:38,1500.0
CUST_0003,ATM_007,12.975229,80.192201,2024-01-02 06:58:22,2000.0
CUST_0303,ATM_004,12.995288,80.232412,2024-01-02 07:30:16,2500.0
CUST_0397,ATM_010,12.92684,80.216754,2024-01-02 07:56:29,500.0
CUST_0045,ATM_005,12.964558,80.229038,2024-01-02 07:57:44,3500.0
CUST_0198,ATM_017,12.999838,80.197307,2024-01-02 08:14:01,3000.0
CUST_0166,ATM_005,12.964558,80.229038,2024-01-02 08:58:37,4500.0
CUST_0129,ATM_008,12.910502,80.233754,2024-01-02 09:17:33,2500.0
CUST_0418,ATM_003,12.968088,80.217388,2024-01-02 09:34:49,2000.0
CUST_0017,ATM_017,12.999838,80.197307,2024-01-02 09:42:28,1500.0
CUST_0451,ATM_008,12.910502,80.233754,2024-01-02 10:58:50,3000.0
CUST_0019,ATM_001,12.979051,80.218826,2024-01-02 11:13:19,2000.0
CUST_0086,ATM_008,12.910502,80.233754,2024-01-02 11:16:05,1500.0
CUST_0421,ATM_001,12.979051,80.218826,2024-01-02 12:04:34,1000.0
CUST_0335,ATM_015,12.992792,80.2065,2024-01-02 12:19:54,2500.0
CUST_0011,ATM_008,12.910502,80.233754,2024-01-02 12:51:47,2500.0
CUST_0131,ATM_005,12.964558,80.229038,2024-01-02 13:26:27,2000.0
CUST_0001,ATM_015,12.992792,80.2065,2024-01-02 14:17:29,1500.0
CUST_0132,ATM_005,12.964558,80.229038,2024-01-02 14:30:07,1500.0
CUST_0412,ATM_011,12.974313,80.240484,2024-01-02 15:15:47,3000.0
CUST_0176,ATM_017,12.999838,80.197307,2024-01-02 15:59:21,3000.0
CUST_0394,ATM_001,12.979051,80.218826,2024-01-02 16:11:56,2000.0
CUST_0037,ATM_020,12.984062,80.212362,2024-01-02 17:09:35,3500.0
CUST_0335,ATM_015,12.992792,80.2065,2024-01-02 17:26:13,5500.0
CUST_0297,ATM_010,12.92684,80.216754,2024-01-02 18:27:02,4500.0
CUST_0216,ATM_016,12.99278,80.232227,2024-01-02 18:41:27,4000.0
CUST_0114,ATM_001,12.979051,80.218826,2024-01-02 19:06:23,4000.0
CUST_0242,ATM_003,12.968088,80.217388,2024-01-02 19:06:32,5500.0
CUST_0162,ATM_003,12.968088,80.217388,2024-01-02 19:20:52,6000.0
CUST_0393,ATM_007,12.975229,80.192201,2024-01-02 19:38:38,4500.0
CUST_0175,ATM_005,12.964558,80.229038,2024-01-02 20:27:21,4000.0
CUST_0475,ATM_001,12.979051,80.218826,2024-01-02 20:40:33,6000.0
CUST_0265,ATM_016,12.99278,80.232227,2024-01-02 21:40:10,3000.0
CUST_0188,ATM_015,12.992792,80.2065,2024-01-02 21:54:12,2000.0
CUST_0386,ATM_019,13.002506,80.186484,2024-01-02 22:32:50,3000.0
CUST_0275,ATM_006,12.964649,80.213914,2024-01-02 22:34:47,1500.0
CUST_0126,ATM_002,12.981315,80.243745,2024-01-02 23:19:47,2500.0
CUST_0045,ATM_005,12.964558,80.229038,2024-01-02 23:37:33,2500.0
CUST_0315,ATM_013,12.934112,80.247218,2024-01-02 23:38:09,2000.0
CUST_0079,ATM_002,12.981315,80.243745,2024-01-03 00:49:19,2000.0
